10_assembly57 | p02 | v0 | r0.54
10_assembly57 | p02 | v1 | r0.63
10_assembly57 | p02 | v2 | r0.73
10_assembly57 | p02 | v3 | r0.82
11_assembly58 | p00 | v0 | r0.54
11_assembly58 | p00 | v1 | r0.69
11_assembly58 | p00 | v2 | r0.75
11_assembly58 | p00 | v3 | r0.87
12_assembly59 | p04 | v0 | r0.58
12_assembly59 | p04 | v1 | r0.63
12_assembly59 | p04 | v2 | r0.73
12_assembly59 | p04 | v3 | r0.82
13_assembly76 | p02 | v0 | r0.57
13_assembly76 | p02 | v1 | r0.63
13_assembly76 | p02 | v2 | r0.74
13_assembly76 | p02 | v3 | r0.87
14_assembly60 | p08 | v0 | r0.58
14_assembly60 | p08 | v1 | r0.64
14_assembly60 | p08 | v2 | r0.74
14_assembly60 | p08 | v3 | r0.86
15_assembly61 | p09 | v0 | r0.53
15_assembly61 | p09 | v1 | r0.65
15_assembly61 | p09 | v2 | r0.74
15_assembly61 | p09 | v3 | r0.88
16_assembly62 | p02 | v0 | r0.54
16_assembly62 | p02 | v1 | r0.63
16_assembly62 | p02 | v2 | r0.79
16_assembly62 | p02 | v3 | r0.88
17_assembly63 | p01 | v0 | r0.51
17_assembly63 | p01 | v1 | r0.63
17_assembly63 | p01 | v2 | r0.74
17_assembly63 | p01 | v3 | r0.87
18_assembly64 | p00 | v0 | r0.5
18_assembly64 | p00 | v1 | r0.62
18_assembly64 | p00 | v2 | r0.72
18_assembly64 | p00 | v3 | r0.83
19_assembly65 | p01 | v0 | r0.57
19_assembly65 | p01 | v1 | r0.61
19_assembly65 | p01 | v2 | r0.8
19_assembly65 | p01 | v3 | r0.83
1_assembly50 | p01 | v0 | r0.54
1_assembly50 | p01 | v1 | r0.63
1_assembly50 | p01 | v2 | r0.71
1_assembly50 | p01 | v3 | r0.85
20_assembly66 | p00 | v0 | r0.54
20_assembly66 | p00 | v1 | r0.66
20_assembly66 | p00 | v2 | r0.78
20_assembly66 | p00 | v3 | r0.82
21_assembly67 | p05 | v0 | r0.6
21_assembly67 | p05 | v1 | r0.7
21_assembly67 | p05 | v2 | r0.72
21_assembly67 | p05 | v3 | r0.88
22_assembly68 | p13 | v0 | r0.59
22_assembly68 | p13 | v1 | r0.7
22_assembly68 | p13 | v2 | r0.73
22_assembly68 | p13 | v3 | r0.89
23_assembly70 | p04 | v0 | r0.55
23_assembly70 | p04 | v1 | r0.64
23_assembly70 | p04 | v2 | r0.76
23_assembly70 | p04 | v3 | r0.83
2_assembly51 | p00 | v0 | r0.56
2_assembly51 | p00 | v1 | r0.69
2_assembly51 | p00 | v2 | r0.74
2_assembly51 | p00 | v3 | r0.85
3_assembly52 | p07 | v0 | r0.55
3_assembly52 | p07 | v1 | r0.69
3_assembly52 | p07 | v2 | r0.72
3_assembly52 | p07 | v3 | r0.84
4_assembly53 | p02 | v0 | r0.57
4_assembly53 | p02 | v1 | r0.65
4_assembly53 | p02 | v2 | r0.74
4_assembly53 | p02 | v3 | r0.86
5_assembly54 | p10 | v0 | r0.51
5_assembly54 | p10 | v1 | r0.61
5_assembly54 | p10 | v2 | r0.72
5_assembly54 | p10 | v3 | r0.86
6_assembly55 | p06 | v0 | r0.54
6_assembly55 | p06 | v1 | r0.65
6_assembly55 | p06 | v2 | r0.74
6_assembly55 | p06 | v3 | r0.9
7_assembly78 | p03 | v0 | r0.56
7_assembly78 | p03 | v1 | r0.64
7_assembly78 | p03 | v2 | r0.8
7_assembly78 | p03 | v3 | r0.81
8_assembly15 | p01 | v0 | r0.57
8_assembly15 | p01 | v1 | r0.61
8_assembly15 | p01 | v2 | r0.7
8_assembly15 | p01 | v3 | r0.85
9_assembly56 | p00 | v0 | r0.58
9_assembly56 | p00 | v1 | r0.61
9_assembly56 | p00 | v2 | r0.73
9_assembly56 | p00 | v3 | r0.84
