10_assembly57 | p01 | v0 | r0.5
10_assembly57 | p01 | v1 | r0.68
10_assembly57 | p01 | v2 | r0.72
10_assembly57 | p01 | v3 | r0.8
11_assembly58 | p06 | v0 | r0.57
11_assembly58 | p06 | v1 | r0.61
11_assembly58 | p06 | v2 | r0.72
11_assembly58 | p06 | v3 | r0.84
12_assembly59 | p01 | v0 | r0.52
12_assembly59 | p01 | v1 | r0.62
12_assembly59 | p01 | v2 | r0.72
12_assembly59 | p01 | v3 | r0.8
13_assembly76 | p09 | v0 | r0.57
13_assembly76 | p09 | v1 | r0.63
13_assembly76 | p09 | v2 | r0.79
13_assembly76 | p09 | v3 | r0.86
14_assembly60 | p10 | v0 | r0.56
14_assembly60 | p10 | v1 | r0.61
14_assembly60 | p10 | v2 | r0.75
14_assembly60 | p10 | v3 | r0.87
15_assembly61 | p09 | v0 | r0.55
15_assembly61 | p09 | v1 | r0.67
15_assembly61 | p09 | v2 | r0.79
15_assembly61 | p09 | v3 | r0.81
16_assembly62 | p11 | v0 | r0.5
16_assembly62 | p11 | v1 | r0.65
16_assembly62 | p11 | v2 | r0.71
16_assembly62 | p11 | v3 | r0.85
17_assembly63 | p09 | v0 | r0.54
17_assembly63 | p09 | v1 | r0.62
17_assembly63 | p09 | v2 | r0.75
17_assembly63 | p09 | v3 | r0.86
18_assembly64 | p00 | v0 | r0.55
18_assembly64 | p00 | v1 | r0.63
18_assembly64 | p00 | v2 | r0.71
18_assembly64 | p00 | v3 | r0.83
19_assembly65 | p08 | v0 | r0.54
19_assembly65 | p08 | v1 | r0.62
19_assembly65 | p08 | v2 | r0.74
19_assembly65 | p08 | v3 | r0.83
1_assembly50 | p03 | v0 | r0.55
1_assembly50 | p03 | v1 | r0.63
1_assembly50 | p03 | v2 | r0.78
1_assembly50 | p03 | v3 | r0.8
20_assembly66 | p03 | v0 | r0.57
20_assembly66 | p03 | v1 | r0.7
20_assembly66 | p03 | v2 | r0.77
20_assembly66 | p03 | v3 | r0.84
21_assembly67 | p11 | v0 | r0.56
21_assembly67 | p11 | v1 | r0.63
21_assembly67 | p11 | v2 | r0.72
21_assembly67 | p11 | v3 | r0.84
22_assembly68 | p05 | v0 | r0.53
22_assembly68 | p05 | v1 | r0.64
22_assembly68 | p05 | v2 | r0.8
22_assembly68 | p05 | v3 | r0.82
23_assembly70 | p10 | v0 | r0.57
23_assembly70 | p10 | v1 | r0.63
23_assembly70 | p10 | v2 | r0.78
23_assembly70 | p10 | v3 | r0.8
2_assembly51 | p04 | v0 | r0.59
2_assembly51 | p04 | v1 | r0.62
2_assembly51 | p04 | v2 | r0.72
2_assembly51 | p04 | v3 | r0.89
3_assembly52 | p07 | v0 | r0.56
3_assembly52 | p07 | v1 | r0.62
3_assembly52 | p07 | v2 | r0.75
3_assembly52 | p07 | v3 | r0.88
4_assembly53 | p10 | v0 | r0.57
4_assembly53 | p10 | v1 | r0.62
4_assembly53 | p10 | v2 | r0.7
4_assembly53 | p10 | v3 | r0.86
5_assembly54 | p05 | v0 | r0.51
5_assembly54 | p05 | v1 | r0.66
5_assembly54 | p05 | v2 | r0.79
5_assembly54 | p05 | v3 | r0.83
6_assembly55 | p03 | v0 | r0.53
6_assembly55 | p03 | v1 | r0.65
6_assembly55 | p03 | v2 | r0.76
6_assembly55 | p03 | v3 | r0.81
7_assembly78 | p00 | v0 | r0.59
7_assembly78 | p00 | v1 | r0.67
7_assembly78 | p00 | v2 | r0.72
7_assembly78 | p00 | v3 | r0.89
8_assembly15 | p05 | v0 | r0.59
8_assembly15 | p05 | v1 | r0.67
8_assembly15 | p05 | v2 | r0.71
8_assembly15 | p05 | v3 | r0.85
9_assembly56 | p03 | v0 | r0.55
9_assembly56 | p03 | v1 | r0.67
9_assembly56 | p03 | v2 | r0.72
9_assembly56 | p03 | v3 | r0.85
