10_assembly57 | p17 | v0 | r0.73
10_assembly57 | p17 | v1 | r0.59
11_assembly58 | p05 | v0 | r0.71
11_assembly58 | p05 | v1 | r0.77
12_assembly59 | p02 | v0 | r0.8
12_assembly59 | p02 | v1 | r0.56
13_assembly76 | p01 | v0 | r0.68
13_assembly76 | p01 | v1 | r0.63
14_assembly60 | p04 | v0 | r0.57
14_assembly60 | p04 | v1 | r0.81
15_assembly61 | p14 | v0 | r0.8
15_assembly61 | p14 | v1 | r0.69
16_assembly62 | p00 | v0 | r0.88
16_assembly62 | p00 | v1 | r0.83
17_assembly63 | p09 | v0 | r0.58
17_assembly63 | p09 | v1 | r0.82
18_assembly64 | p18 | v0 | r0.83
18_assembly64 | p18 | v1 | r0.51
19_assembly65 | p18 | v0 | r0.75
19_assembly65 | p18 | v1 | r0.63
1_assembly50 | p01 | v0 | r0.86
1_assembly50 | p01 | v1 | r0.71
20_assembly66 | p15 | v0 | r0.63
20_assembly66 | p15 | v1 | r0.86
21_assembly67 | p17 | v0 | r0.69
21_assembly67 | p17 | v1 | r0.7
22_assembly68 | p05 | v0 | r0.86
22_assembly68 | p05 | v1 | r0.67
23_assembly70 | p07 | v0 | r0.52
23_assembly70 | p07 | v1 | r0.81
2_assembly51 | p07 | v0 | r0.89
2_assembly51 | p07 | v1 | r0.84
3_assembly52 | p06 | v0 | r0.85
3_assembly52 | p06 | v1 | r0.83
4_assembly53 | p03 | v0 | r0.79
4_assembly53 | p03 | v1 | r0.54
5_assembly54 | p07 | v0 | r0.89
5_assembly54 | p07 | v1 | r0.78
6_assembly55 | p00 | v0 | r0.58
6_assembly55 | p00 | v1 | r0.68
7_assembly78 | p14 | v0 | r0.57
7_assembly78 | p14 | v1 | r0.66
8_assembly15 | p04 | v0 | r0.53
8_assembly15 | p04 | v1 | r0.73
9_assembly56 | p14 | v0 | r0.72
9_assembly56 | p14 | v1 | r0.68
