10_assembly57 | p02 | v0 | r0.78
10_assembly57 | p02 | v1 | r0.81
11_assembly58 | p09 | v0 | r0.89
11_assembly58 | p09 | v1 | r0.81
12_assembly59 | p03 | v0 | r0.63
12_assembly59 | p03 | v1 | r0.52
13_assembly76 | p06 | v0 | r0.67
13_assembly76 | p06 | v1 | r0.58
14_assembly60 | p04 | v0 | r0.62
14_assembly60 | p04 | v1 | r0.64
15_assembly61 | p16 | v0 | r0.61
15_assembly61 | p16 | v1 | r0.55
16_assembly62 | p11 | v0 | r0.6
16_assembly62 | p11 | v1 | r0.73
17_assembly63 | p17 | v0 | r0.66
17_assembly63 | p17 | v1 | r0.76
18_assembly64 | p15 | v0 | r0.51
18_assembly64 | p15 | v1 | r0.68
19_assembly65 | p19 | v0 | r0.59
19_assembly65 | p19 | v1 | r0.58
1_assembly50 | p01 | v0 | r0.68
1_assembly50 | p01 | v1 | r0.7
20_assembly66 | p01 | v0 | r0.87
20_assembly66 | p01 | v1 | r0.85
21_assembly67 | p14 | v0 | r0.89
21_assembly67 | p14 | v1 | r0.66
22_assembly68 | p10 | v0 | r0.64
22_assembly68 | p10 | v1 | r0.76
23_assembly70 | p02 | v0 | r0.85
23_assembly70 | p02 | v1 | r0.82
2_assembly51 | p07 | v0 | r0.81
2_assembly51 | p07 | v1 | r0.74
3_assembly52 | p06 | v0 | r0.54
3_assembly52 | p06 | v1 | r0.78
4_assembly53 | p08 | v0 | r0.81
4_assembly53 | p08 | v1 | r0.88
5_assembly54 | p00 | v0 | r0.68
5_assembly54 | p00 | v1 | r0.56
6_assembly55 | p03 | v0 | r0.56
6_assembly55 | p03 | v1 | r0.83
7_assembly78 | p11 | v0 | r0.63
7_assembly78 | p11 | v1 | r0.75
8_assembly15 | p16 | v0 | r0.76
8_assembly15 | p16 | v1 | r0.55
9_assembly56 | p04 | v0 | r0.58
9_assembly56 | p04 | v1 | r0.7
