10_assembly57 | p05 | v0 | r0.59
10_assembly57 | p05 | v1 | r0.69
10_assembly57 | p05 | v2 | r0.76
10_assembly57 | p05 | v3 | r0.86
11_assembly58 | p00 | v0 | r0.51
11_assembly58 | p00 | v1 | r0.68
11_assembly58 | p00 | v2 | r0.74
11_assembly58 | p00 | v3 | r0.85
12_assembly59 | p07 | v0 | r0.59
12_assembly59 | p07 | v1 | r0.7
12_assembly59 | p07 | v2 | r0.72
12_assembly59 | p07 | v3 | r0.89
13_assembly76 | p03 | v0 | r0.55
13_assembly76 | p03 | v1 | r0.63
13_assembly76 | p03 | v2 | r0.73
13_assembly76 | p03 | v3 | r0.8
14_assembly60 | p05 | v0 | r0.51
14_assembly60 | p05 | v1 | r0.61
14_assembly60 | p05 | v2 | r0.73
14_assembly60 | p05 | v3 | r0.82
15_assembly61 | p01 | v0 | r0.58
15_assembly61 | p01 | v1 | r0.66
15_assembly61 | p01 | v2 | r0.72
15_assembly61 | p01 | v3 | r0.86
16_assembly62 | p08 | v0 | r0.55
16_assembly62 | p08 | v1 | r0.61
16_assembly62 | p08 | v2 | r0.74
16_assembly62 | p08 | v3 | r0.81
17_assembly63 | p01 | v0 | r0.59
17_assembly63 | p01 | v1 | r0.66
17_assembly63 | p01 | v2 | r0.75
17_assembly63 | p01 | v3 | r0.84
18_assembly64 | p01 | v0 | r0.56
18_assembly64 | p01 | v1 | r0.68
18_assembly64 | p01 | v2 | r0.77
18_assembly64 | p01 | v3 | r0.84
19_assembly65 | p10 | v0 | r0.55
19_assembly65 | p10 | v1 | r0.67
19_assembly65 | p10 | v2 | r0.74
19_assembly65 | p10 | v3 | r0.8
1_assembly50 | p02 | v0 | r0.58
1_assembly50 | p02 | v1 | r0.64
1_assembly50 | p02 | v2 | r0.71
1_assembly50 | p02 | v3 | r0.81
20_assembly66 | p05 | v0 | r0.5
20_assembly66 | p05 | v1 | r0.64
20_assembly66 | p05 | v2 | r0.77
20_assembly66 | p05 | v3 | r0.86
21_assembly67 | p16 | v0 | r0.54
21_assembly67 | p16 | v1 | r0.69
21_assembly67 | p16 | v2 | r0.78
21_assembly67 | p16 | v3 | r0.88
22_assembly68 | p02 | v0 | r0.58
22_assembly68 | p02 | v1 | r0.67
22_assembly68 | p02 | v2 | r0.77
22_assembly68 | p02 | v3 | r0.81
23_assembly70 | p02 | v0 | r0.53
23_assembly70 | p02 | v1 | r0.64
23_assembly70 | p02 | v2 | r0.72
23_assembly70 | p02 | v3 | r0.84
2_assembly51 | p13 | v0 | r0.57
2_assembly51 | p13 | v1 | r0.64
2_assembly51 | p13 | v2 | r0.74
2_assembly51 | p13 | v3 | r0.85
3_assembly52 | p06 | v0 | r0.52
3_assembly52 | p06 | v1 | r0.62
3_assembly52 | p06 | v2 | r0.76
3_assembly52 | p06 | v3 | r0.82
4_assembly53 | p03 | v0 | r0.55
4_assembly53 | p03 | v1 | r0.65
4_assembly53 | p03 | v2 | r0.72
4_assembly53 | p03 | v3 | r0.84
5_assembly54 | p08 | v0 | r0.58
5_assembly54 | p08 | v1 | r0.68
5_assembly54 | p08 | v2 | r0.78
5_assembly54 | p08 | v3 | r0.86
6_assembly55 | p06 | v0 | r0.59
6_assembly55 | p06 | v1 | r0.62
6_assembly55 | p06 | v2 | r0.72
6_assembly55 | p06 | v3 | r0.83
7_assembly78 | p07 | v0 | r0.57
7_assembly78 | p07 | v1 | r0.62
7_assembly78 | p07 | v2 | r0.75
7_assembly78 | p07 | v3 | r0.81
8_assembly15 | p07 | v0 | r0.51
8_assembly15 | p07 | v1 | r0.66
8_assembly15 | p07 | v2 | r0.77
8_assembly15 | p07 | v3 | r0.9
9_assembly56 | p01 | v0 | r0.54
9_assembly56 | p01 | v1 | r0.68
9_assembly56 | p01 | v2 | r0.73
9_assembly56 | p01 | v3 | r0.83
