10_assembly57 | p04 | v0 | r0.52
10_assembly57 | p04 | v1 | r0.6
10_assembly57 | p04 | v2 | r0.76
10_assembly57 | p04 | v3 | r0.84
11_assembly58 | p06 | v0 | r0.54
11_assembly58 | p06 | v1 | r0.67
11_assembly58 | p06 | v2 | r0.78
11_assembly58 | p06 | v3 | r0.8
12_assembly59 | p00 | v0 | r0.59
12_assembly59 | p00 | v1 | r0.63
12_assembly59 | p00 | v2 | r0.77
12_assembly59 | p00 | v3 | r0.89
13_assembly76 | p14 | v0 | r0.51
13_assembly76 | p14 | v1 | r0.65
13_assembly76 | p14 | v2 | r0.73
13_assembly76 | p14 | v3 | r0.89
14_assembly60 | p06 | v0 | r0.58
14_assembly60 | p06 | v1 | r0.64
14_assembly60 | p06 | v2 | r0.73
14_assembly60 | p06 | v3 | r0.82
15_assembly61 | p01 | v0 | r0.56
15_assembly61 | p01 | v1 | r0.62
15_assembly61 | p01 | v2 | r0.74
15_assembly61 | p01 | v3 | r0.89
16_assembly62 | p13 | v0 | r0.58
16_assembly62 | p13 | v1 | r0.67
16_assembly62 | p13 | v2 | r0.79
16_assembly62 | p13 | v3 | r0.89
17_assembly63 | p06 | v0 | r0.56
17_assembly63 | p06 | v1 | r0.68
17_assembly63 | p06 | v2 | r0.72
17_assembly63 | p06 | v3 | r0.82
18_assembly64 | p02 | v0 | r0.52
18_assembly64 | p02 | v1 | r0.64
18_assembly64 | p02 | v2 | r0.76
18_assembly64 | p02 | v3 | r0.84
19_assembly65 | p04 | v0 | r0.54
19_assembly65 | p04 | v1 | r0.62
19_assembly65 | p04 | v2 | r0.8
19_assembly65 | p04 | v3 | r0.86
1_assembly50 | p00 | v0 | r0.56
1_assembly50 | p00 | v1 | r0.63
1_assembly50 | p00 | v2 | r0.74
1_assembly50 | p00 | v3 | r0.89
20_assembly66 | p02 | v0 | r0.57
20_assembly66 | p02 | v1 | r0.67
20_assembly66 | p02 | v2 | r0.77
20_assembly66 | p02 | v3 | r0.89
21_assembly67 | p02 | v0 | r0.56
21_assembly67 | p02 | v1 | r0.61
21_assembly67 | p02 | v2 | r0.71
21_assembly67 | p02 | v3 | r0.87
22_assembly68 | p05 | v0 | r0.57
22_assembly68 | p05 | v1 | r0.67
22_assembly68 | p05 | v2 | r0.77
22_assembly68 | p05 | v3 | r0.88
23_assembly70 | p01 | v0 | r0.59
23_assembly70 | p01 | v1 | r0.65
23_assembly70 | p01 | v2 | r0.76
23_assembly70 | p01 | v3 | r0.85
2_assembly51 | p11 | v0 | r0.5
2_assembly51 | p11 | v1 | r0.69
2_assembly51 | p11 | v2 | r0.74
2_assembly51 | p11 | v3 | r0.87
3_assembly52 | p05 | v0 | r0.58
3_assembly52 | p05 | v1 | r0.65
3_assembly52 | p05 | v2 | r0.76
3_assembly52 | p05 | v3 | r0.89
4_assembly53 | p09 | v0 | r0.59
4_assembly53 | p09 | v1 | r0.61
4_assembly53 | p09 | v2 | r0.74
4_assembly53 | p09 | v3 | r0.87
5_assembly54 | p08 | v0 | r0.58
5_assembly54 | p08 | v1 | r0.63
5_assembly54 | p08 | v2 | r0.76
5_assembly54 | p08 | v3 | r0.85
6_assembly55 | p02 | v0 | r0.55
6_assembly55 | p02 | v1 | r0.63
6_assembly55 | p02 | v2 | r0.73
6_assembly55 | p02 | v3 | r0.9
7_assembly78 | p04 | v0 | r0.54
7_assembly78 | p04 | v1 | r0.67
7_assembly78 | p04 | v2 | r0.75
7_assembly78 | p04 | v3 | r0.83
8_assembly15 | p04 | v0 | r0.58
8_assembly15 | p04 | v1 | r0.62
8_assembly15 | p04 | v2 | r0.77
8_assembly15 | p04 | v3 | r0.83
9_assembly56 | p00 | v0 | r0.55
9_assembly56 | p00 | v1 | r0.64
9_assembly56 | p00 | v2 | r0.74
9_assembly56 | p00 | v3 | r0.83
